seqid	accession	identity	evalue	sciname	taxids	taxonomy
ERR2032691.299	MN212438.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1417466.4051	MN212298.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2032691.628	MT491082.1	100.0	6.3499999999999984e-71	Bifidobacterium longum	216816	Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum
ERR2319529.123	MN212470.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2319529.6804	MN474417.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2319529.21078	JQ940722.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2579904.348	DQ801483.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2579440.264	KX593306.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1417421.938	CP020509.1	100.0	6.3499999999999984e-71	Escherichia coli	562	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
ERR2579904.50	KC304518.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2579440.2447	MN474843.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2579440.19408	MN212437.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2032691.1066	MN474117.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2318042.532	MK727100.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2697076.30667	MN212467.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2696987.96	MK521455.1	100.0	1.7799999999999998e-71	Muribaculum sp. TLL-A4	2530390	Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum sp. TLL-A4
ERR2032691.234	LR636945.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1417421.13	HQ791674.1	100.0	6.3499999999999984e-71	uncultured organism	155900	NaN;NaN;NaN;NaN;NaN;uncultured organism
ERR2319529.18285	KC304281.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2032691.87	MT445141.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2697076.7	MF308708.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2032691.3064	KY672284.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2032691.452	LT674860.1	100.0	6.3499999999999984e-71	uncultured Tissierellaceae bacterium	1841660	Firmicutes;Tissierellia;Tissierellales;Tissierellaceae;NaN;uncultured Tissierellaceae bacterium
ERR2032691.2106	LR027880.1	100.0	6.3499999999999984e-71	Roseburia intestinalis L1-82	536231	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia intestinalis
ERR1846096.236	JN612466.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1417421.82	LC487980.1	100.0	6.3499999999999984e-71	Dialister sp. 5BBH33	2582419	Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister hominis
ERR2523900.10982	MN212477.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2696987.4804	LR636945.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2032691.1094	MG859037.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2697896.6382	LR654724.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2696987.393	KU152266.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2318042.75	MN841017.1	99.338	2.2999999999999997e-70	Escherichia coli	562	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
ERR2319529.17432	MT268993.1	100.0	2.2599999999999996e-70	Odoribacter splanchnicus	28118	Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter;Odoribacter splanchnicus
ERR1841615.563	KY668680.1	99.333	2.9499999999999996e-69	uncultured Lachnospiraceae bacterium	297314	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NaN;uncultured Lachnospiraceae bacterium
ERR2318042.7690	MG857875.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2318042.271	KX996786.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1458999.342	MT341901.1	100.0	6.3499999999999984e-71	Rosenbergiella nectarea	988801	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Rosenbergiella;Rosenbergiella nectarea
ERR1417421.371	LC268636.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2318042.29830	MT445110.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1417466.203	MH761663.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2319529.188	CP040443.1	96.02600000000001	1.8e-61	Escherichia sp. E4742	2044467	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia sp. E4742
ERR2318042.3585	MK274833.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2318042.17520	MN474561.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2523900.14793	KF841716.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2032691.1286	MT268993.1	100.0	6.3499999999999984e-71	Odoribacter splanchnicus	28118	Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter;Odoribacter splanchnicus
ERR1843602.96	KT926919.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2318042.6203	MF081592.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2696987.5	MN211624.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2032691.3194	KY932791.1	100.0	6.3499999999999984e-71	uncultured organism	155900	NaN;NaN;NaN;NaN;NaN;uncultured organism
ERR1417466.38	MH761438.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2579440.25	KY874297.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2319529.6	LR595742.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2318042.35581	LR027880.1	100.0	1.7799999999999998e-71	Roseburia intestinalis L1-82	536231	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia intestinalis
ERR2032691.586	CP040902.1	100.0	6.3499999999999984e-71	Longibaculum sp. KGMB06250	2584943	Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Longibaculum;Longibaculum sp. KGMB06250
ERR4019307.70	MG857966.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1417421.157	KJ197736.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1417466.242	MH468612.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1417466.826	MH761873.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1389989.139	KX655255.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2032691.6937	KY671594.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1417421.32	FJ364556.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2696987.25	MN474763.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2032691.10642	MT489344.1	100.0	6.3499999999999984e-71	Klebsiella pneumoniae	573	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae
ERR2032691.1310	MF365015.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1417466.248	MN212470.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1389989.57	MH462403.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2579440.51	MK274834.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2319529.47	MT433855.1	100.0	1.7799999999999998e-71	uncultured Ochrobactrum sp.	267632	Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae;Ochrobactrum;uncultured Ochrobactrum sp.
ERR1854738.528	LC529453.1	100.0	6.3499999999999984e-71	Achromobacter sp.	134375	Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;Achromobacter sp.
ERR2319529.248	CP021986.1	96.02600000000001	3.879999999999999e-63	Pseudomonas fragi	296	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas fragi
ERR2032691.15557	MG702771.1	100.0	6.3499999999999984e-71	uncultured Lachnospiraceae bacterium	297314	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NaN;uncultured Lachnospiraceae bacterium
ERR2032836.4691	MH569932.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2318042.19056	MF230807.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2579440.47	HQ762734.1	100.0	1.7799999999999998e-71	uncultured organism	155900	NaN;NaN;NaN;NaN;NaN;uncultured organism
ERR2032691.785	LR647866.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2032691.9511	HQ758633.1	100.0	6.3499999999999984e-71	uncultured organism	155900	NaN;NaN;NaN;NaN;NaN;uncultured organism
ERR1417466.67	AP019739.1	100.0	6.3499999999999984e-71	Alistipes sp. 5CBH24	2585118	Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes communis
ERR2318042.2946	HQ786825.1	100.0	1.7799999999999998e-71	uncultured organism	155900	NaN;NaN;NaN;NaN;NaN;uncultured organism
ERR2579440.93	CP048437.1	99.338	8.279999999999999e-70	Faecalibacterium prausnitzii A2-165	411483	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii
ERR2032691.238	LR640969.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1389989.7736	MF406706.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2318042.451	MH570035.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2697076.152	KY671446.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2033474.432	AP019004.1	100.0	6.3499999999999984e-71	Phascolarctobacterium faecium	33025	Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium faecium
ERR2032691.2805	MK274833.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2696987.155	LC515556.1	100.0	1.7799999999999998e-71	Collinsella aerofaciens	74426	Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella aerofaciens
ERR2319529.8632	MN474844.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2032690.123	KF843672.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2579440.113	MK274923.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1389989.16952	KT926932.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1389989.378	HQ790659.1	100.0	6.3499999999999984e-71	uncultured organism	155900	NaN;NaN;NaN;NaN;NaN;uncultured organism
ERR2032691.146	MH761044.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1417421.422	MN212477.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1417421.298	MN474811.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1389989.58	KT925216.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2579440.1462	MH761696.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2696987.41	MN474935.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2032691.7338	LR641029.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2318042.35812	MT436614.1	100.0	1.7799999999999998e-71	Haemophilus parainfluenzae	729	Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Haemophilus parainfluenzae
ERR2032691.3740	MT464392.1	100.0	6.3499999999999984e-71	Lactobacillus ruminis	1623	Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus ruminis
ERR2318042.756	KT301699.1	100.0	1.7799999999999998e-71	uncultured Klebsiella sp.	284011	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;uncultured Klebsiella sp.
ERR2318042.10324	MH468612.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2696987.25099	MT491072.1	100.0	1.7799999999999998e-71	Bifidobacterium pseudocatenulatum	28026	Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium pseudocatenulatum
ERR2696765.5272	MN474353.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2318042.8637	MN212298.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1417421.910	MN474697.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2579440.12	LC515557.1	100.0	1.7799999999999998e-71	Dysosmobacter welbionis	2093857	Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;Dysosmobacter;Dysosmobacter welbionis
ERR2032691.107	LR640822.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2319529.1281	LR650618.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2318042.773	MT477821.1	100.0	1.7799999999999998e-71	Streptococcus parasanguinis	1318	Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus parasanguinis
ERR2523900.19503	CP053584.1	99.338	8.279999999999999e-70	Salmonella enterica	28901	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
ERR1846096.3394	MH761181.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2696987.74	MN474690.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1389989.3226	KY880216.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2696987.38	CP048627.1	100.0	1.7799999999999998e-71	Megamonas funiformis	437897	Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis
ERR2579440.70	LR638955.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2318042.1750	MT477829.1	100.0	1.7799999999999998e-71	Streptococcus thermophilus	1308	Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus thermophilus
ERR1389989.4445	MH761330.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2318042.13640	FJ503780.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2032691.143	JQ472856.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2318042.16533	JN611512.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2032691.4228	MF670802.1	100.0	6.3499999999999984e-71	uncultured Faecalibacterium sp.	259315	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;uncultured Faecalibacterium sp.
ERR2032691.1	KY672349.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1417466.6159	KX653433.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2696987.7137	CP045695.1	100.0	1.7799999999999998e-71	[Clostridium] scindens	29347	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;[Clostridium] scindens
ERR2696987.12925	AP019739.1	100.0	1.7799999999999998e-71	Alistipes sp. 5CBH24	2585118	Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes communis
ERR2318042.11822	MN474117.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2318042.397	CP020509.1	100.0	1.7799999999999998e-71	Escherichia coli	562	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
ERR1417466.1097	MH228452.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2523900.6013	MH761740.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1417466.335	KP105400.1	100.0	6.3499999999999984e-71	uncultured Prevotella sp.	159272	Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;uncultured Prevotella sp.
ERR1417421.230	LR646166.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2696987.159	KU339936.1	96.711	3.879999999999999e-63	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2697896.84	MN211895.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1417466.298	KF385804.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2032691.343	KU223607.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2319529.2766	MN474739.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2032691.967	MN212432.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2319529.690	MT225834.1	99.338	8.279999999999999e-70	Pseudomonas psychrophila	122355	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas psychrophila
ERR2318042.364	MH761438.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1417466.2210	MG559119.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2697896.404	KF843262.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2523900.4316	MG859037.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2032691.2070	KY672322.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1843602.84	KY285433.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1417466.668	KC304281.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2318042.6033	LR651181.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2032691.7799	LR648866.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2319529.1801	CP048437.1	100.0	6.399999999999999e-71	Faecalibacterium prausnitzii A2-165	411483	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii
ERR2318042.33	KU152706.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2579440.13719	MT477538.1	100.0	1.7799999999999998e-71	Bifidobacterium pseudolongum	1694	Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium pseudolongum
ERR1417466.4025	MG858282.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1843602.1	KY278534.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2696639.10304	MT445120.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2579440.31	KU467712.1	100.0	2.2599999999999996e-70	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2579440.749	DQ807419.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2523900.126	FP078720.1	98.675	3.8499999999999995e-68	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1417466.150	CP051672.1	100.0	6.3499999999999984e-71	Parabacteroides distasonis	823	Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis
ERR2579440.846	JN612120.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2523900.35	KX593991.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2318042.1698	JN413781.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2318042.2513	MH761899.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2318042.2510	MF364912.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2696987.11180	MN212468.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2318042.36958	KY932791.1	100.0	1.7799999999999998e-71	uncultured organism	155900	NaN;NaN;NaN;NaN;NaN;uncultured organism
ERR2319529.6867	KX593434.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2033474.82	MN474089.1	98.0	6.389999999999999e-66	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1417466.805	MN474461.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR2523900.14749	LC515634.1	99.338	8.279999999999999e-70	Bacteroides stercoris	46506	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris
ERR2318042.624	MT484117.1	100.0	1.7799999999999998e-71	Enterococcus faecalis	1351	Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis
ERR1854738.25	MT001144.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
ERR1417466.507	MT445143.1	100.0	6.3499999999999984e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
