header	seqid	accession	identity	evalue	sciname	taxids	taxonomy
>ERR1458766.231 10317.000028806_230 length=150 number of reps 263	ERR1458766.231	MT269337.1	100.0	6.369999999999999e-71	Finegoldia magna	1260	Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;Finegoldia;Finegoldia magna
>ERR1458766.5857 10317.000028806_5856 length=150 number of reps 260	ERR1458766.5857	MH761330.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.34 10317.000028806_33 length=150 number of reps 256	ERR1458766.34	KY672216.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.481 10317.000028806_480 length=150 number of reps 254	ERR1458766.481	LR654483.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.854 10317.000028806_853 length=150 number of reps 245	ERR1458766.854	MT491082.1	100.0	6.369999999999999e-71	Bifidobacterium longum	216816	Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum
>ERR1160658.251 10317.000032795_250 length=126 number of reps 245	ERR1160658.251	MT268988.1	100.0	1.1100000000000001e-57	Bacteroides uniformis	820	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis
>ERR2319745.401 10317.000050475_400 length=149 number of reps 243	ERR2319745.401	KU467712.1	100.0	2.2699999999999994e-70	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.2001 10317.000050475_2000 length=151 number of reps 243	ERR2319745.2001	KP804558.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2405131.1737 10317.000082870_1736 length=151 number of reps 242	ERR2405131.1737	FP076187.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1843602.25 10317.000040396_24 length=150 number of reps 241	ERR1843602.25	KP105400.1	100.0	6.369999999999999e-71	uncultured Prevotella sp.	159272	Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;uncultured Prevotella sp.
>ERR1842255.10460 10317.000044555_10459 length=150 number of reps 241	ERR1842255.10460	DQ794968.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1080303.155 10317.000021280_154 length=151 number of reps 240	ERR1080303.155	MN474769.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1079964.54 10317.000013105_53 length=151 number of reps 239	ERR1079964.54	MH569932.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.169 10317.000028806_168 length=150 number of reps 235	ERR1458766.169	CP040518.1	100.0	6.369999999999999e-71	Blautia sp. SC05B48	2479767	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia sp. SC05B48
>ERR2319745.1904 10317.000050475_1903 length=150 number of reps 234	ERR2319745.1904	KF841716.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1843602.84 10317.000040396_83 length=150 number of reps 231	ERR1843602.84	KY285433.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1160658.1048 10317.000032795_1047 length=126 number of reps 230	ERR1160658.1048	MT472101.1	100.0	1.1100000000000001e-57	Pseudomonas syringae pv. actinidiae	103796	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas syringae
>ERR1458766.68 10317.000028806_67 length=150 number of reps 228	ERR1458766.68	MT268987.1	100.0	6.369999999999999e-71	Bacteroides ovatus	28116	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus
>ERR1458766.418 10317.000028806_417 length=150 number of reps 227	ERR1458766.418	MH761645.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.160 10317.000050475_159 length=151 number of reps 226	ERR2319745.160	KF843249.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1845804.8414 10317.000023590_8413 length=150 number of reps 223	ERR1845804.8414	MT416445.1	100.0	6.369999999999999e-71	Staphylococcus aureus	1280	Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus
>ERR2319745.637 10317.000050475_636 length=151 number of reps 222	ERR2319745.637	KC304281.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.4571 10317.000050475_4570 length=151 number of reps 222	ERR2319745.4571	DQ806879.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.162 10317.000028806_161 length=150 number of reps 222	ERR1458766.162	MH291619.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1841615.86 10317.000040396_85 length=150 number of reps 220	ERR1841615.86	JN612466.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1079964.1103 10317.000013105_1102 length=151 number of reps 217	ERR1079964.1103	MH570035.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1160658.140 10317.000032795_139 length=126 number of reps 216	ERR1160658.140	MF365666.1	100.0	1.1100000000000001e-57	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.363 10317.000028806_362 length=150 number of reps 215	ERR1458766.363	LC489059.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842255.18 10317.000044555_17 length=150 number of reps 213	ERR1842255.18	MH291422.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1160658.640 10317.000032795_639 length=126 number of reps 213	ERR1160658.640	MF081592.1	100.0	1.1100000000000001e-57	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1080303.480 10317.000021280_479 length=151 number of reps 213	ERR1080303.480	HQ791752.1	100.0	1.7899999999999994e-71	uncultured organism	155900	NaN;NaN;NaN;NaN;NaN;uncultured organism
>ERR1080303.28 10317.000021280_27 length=151 number of reps 213	ERR1080303.28	KC304723.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1160658.1749 10317.000032795_1748 length=126 number of reps 212	ERR1160658.1749	KX654258.1	100.0	1.1100000000000001e-57	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696499.156 10317.000076358_155 length=151 number of reps 211	ERR2696499.156	MT268985.1	100.0	6.429999999999998e-71	Bacteroides fragilis	817	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis
>ERR1080303.379 10317.000021280_378 length=151 number of reps 211	ERR1080303.379	CP051144.1	100.0	1.7899999999999994e-71	Romboutsia sp. CE17	2724150	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis
>ERR2319745.3848 10317.000050475_3847 length=151 number of reps 209	ERR2319745.3848	KF229951.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.5497 10317.000028806_5496 length=150 number of reps 209	ERR1458766.5497	MF365015.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1080303.2192 10317.000021280_2191 length=151 number of reps 207	ERR1080303.2192	MG702800.1	100.0	1.7899999999999994e-71	uncultured Lachnospiraceae bacterium	297314	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NaN;uncultured Lachnospiraceae bacterium
>ERR2319745.536 10317.000050475_535 length=151 number of reps 205	ERR2319745.536	MH468612.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.3 10317.000028806_2 length=150 number of reps 204	ERR1458766.3	MH468371.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1845804.11038 10317.000023590_11037 length=150 number of reps 203	ERR1845804.11038	MT416449.1	99.333	2.96e-69	Escherichia coli	562	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
>ERR1160658.1818 10317.000032795_1817 length=126 number of reps 201	ERR1160658.1818	MH221941.1	100.0	1.1100000000000001e-57	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1160658.1096 10317.000032795_1095 length=126 number of reps 201	ERR1160658.1096	MT516207.1	100.0	1.1100000000000001e-57	Weissella confusa	1583	Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Weissella;Weissella confusa
>ERR1079964.1770 10317.000013105_1769 length=149 number of reps 201	ERR1079964.1770	MT268993.1	100.0	2.2699999999999994e-70	Odoribacter splanchnicus	28118	Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter;Odoribacter splanchnicus
>ERR1079964.1762 10317.000013105_1761 length=151 number of reps 201	ERR1079964.1762	MH572109.1	100.0	1.7899999999999994e-71	uncultured Lachnospiraceae bacterium	297314	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NaN;uncultured Lachnospiraceae bacterium
>ERR2319745.1536 10317.000050475_1535 length=151 number of reps 200	ERR2319745.1536	JN611629.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1160658.1104 10317.000032795_1103 length=126 number of reps 198	ERR1160658.1104	MN252008.1	99.206	5.17e-56	Serratia marcescens	615	Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;Serratia marcescens
>ERR1079964.6055 10317.000013105_6054 length=151 number of reps 198	ERR1079964.6055	MN474509.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1845804.7974 10317.000023590_7973 length=150 number of reps 197	ERR1845804.7974	KY671809.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1080303.4233 10317.000021280_4232 length=151 number of reps 197	ERR1080303.4233	MT515977.1	100.0	6.429999999999998e-71	Bacteroides vulgatus	821	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides vulgatus
>ERR2405131.1609 10317.000082870_1608 length=151 number of reps 196	ERR2405131.1609	HQ784797.1	100.0	1.7899999999999994e-71	uncultured organism	155900	NaN;NaN;NaN;NaN;NaN;uncultured organism
>ERR2319745.25426 10317.000050475_25425 length=151 number of reps 196	ERR2319745.25426	JQ940722.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.24670 10317.000050475_24669 length=151 number of reps 196	ERR2319745.24670	FP078720.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.182 10317.000028806_181 length=150 number of reps 193	ERR1458766.182	MG702771.1	100.0	6.369999999999999e-71	uncultured Lachnospiraceae bacterium	297314	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NaN;uncultured Lachnospiraceae bacterium
>ERR1160658.634 10317.000032795_633 length=126 number of reps 191	ERR1160658.634	MN474983.1	100.0	1.1100000000000001e-57	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2697834.389 10317.000097233_388 length=151 number of reps 189	ERR2697834.389	LR648546.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1079964.1032 10317.000013105_1031 length=151 number of reps 187	ERR1079964.1032	MF364912.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1843602.86 10317.000040396_85 length=150 number of reps 186	ERR1843602.86	KP108951.1	100.0	6.369999999999999e-71	uncultured Prevotella sp.	159272	Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;uncultured Prevotella sp.
>ERR1458766.1102 10317.000028806_1101 length=150 number of reps 186	ERR1458766.1102	LC528172.1	100.0	6.369999999999999e-71	Anaerostipes hadrus	649756	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;Anaerostipes hadrus
>ERR2319745.4523 10317.000050475_4522 length=151 number of reps 185	ERR2319745.4523	MF264046.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1080303.905 10317.000021280_904 length=151 number of reps 184	ERR1080303.905	MH761842.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1160658.196 10317.000032795_195 length=126 number of reps 183	ERR1160658.196	KX996994.1	99.206	5.17e-56	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1080303.2 10317.000021280_1 length=151 number of reps 183	ERR1080303.2	MH228452.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1160658.678 10317.000032795_677 length=126 number of reps 182	ERR1160658.678	LC268639.1	100.0	1.1100000000000001e-57	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.3265 10317.000050475_3264 length=151 number of reps 181	ERR2319745.3265	KC304481.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.110 10317.000028806_109 length=150 number of reps 181	ERR1458766.110	MH569932.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.3631 10317.000050475_3630 length=151 number of reps 177	ERR2319745.3631	KJ421935.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842255.164 10317.000044555_163 length=150 number of reps 177	ERR1842255.164	KY671907.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.4293 10317.000050475_4292 length=151 number of reps 176	ERR2319745.4293	KY049721.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.350 10317.000050475_349 length=151 number of reps 176	ERR2319745.350	MK274681.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.16522 10317.000050475_16521 length=151 number of reps 175	ERR2319745.16522	MN212492.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1080303.2832 10317.000021280_2831 length=151 number of reps 175	ERR1080303.2832	MN212470.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.53 10317.000028806_52 length=150 number of reps 173	ERR1458766.53	LR646661.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1160658.2367 10317.000032795_2366 length=126 number of reps 173	ERR1160658.2367	LC356867.1	100.0	1.1100000000000001e-57	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1080303.3134 10317.000021280_3133 length=151 number of reps 172	ERR1080303.3134	HQ748899.1	100.0	1.7899999999999994e-71	uncultured organism	155900	NaN;NaN;NaN;NaN;NaN;uncultured organism
>ERR2319745.188 10317.000050475_187 length=151 number of reps 171	ERR2319745.188	HQ787930.1	100.0	1.7899999999999994e-71	uncultured organism	155900	NaN;NaN;NaN;NaN;NaN;uncultured organism
>ERR1458766.43 10317.000028806_42 length=150 number of reps 170	ERR1458766.43	MN212518.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1079964.4679 10317.000013105_4678 length=151 number of reps 170	ERR1079964.4679	MH196680.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1079964.154 10317.000013105_153 length=151 number of reps 170	ERR1079964.154	MH291839.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1160658.626 10317.000032795_625 length=126 number of reps 169	ERR1160658.626	MH222252.1	99.206	5.17e-56	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019696.473 10317.000101088_472 length=151 number of reps 168	ERR4019696.473	FP078720.1	98.675	3.87e-68	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.652 10317.000050475_651 length=151 number of reps 167	ERR2319745.652	KC304747.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.154 10317.000028806_153 length=150 number of reps 167	ERR1458766.154	KF110105.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2405131.227 10317.000082870_226 length=151 number of reps 166	ERR2405131.227	KX593306.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1845804.10448 10317.000023590_10447 length=150 number of reps 164	ERR1845804.10448	HQ791598.1	100.0	6.369999999999999e-71	uncultured organism	155900	NaN;NaN;NaN;NaN;NaN;uncultured organism
>ERR1080303.6069 10317.000021280_6068 length=151 number of reps 164	ERR1080303.6069	KF232424.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1080303.1744 10317.000021280_1743 length=151 number of reps 163	ERR1080303.1744	MN212518.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2405131.240 10317.000082870_239 length=151 number of reps 162	ERR2405131.240	MT416449.1	99.338	8.309999999999998e-70	Escherichia coli	562	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
>ERR1160658.2194 10317.000032795_2193 length=126 number of reps 162	ERR1160658.2194	CP053042.1	97.619	1.1200000000000001e-52	Proteus cibarius	626774	Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus cibarius
>ERR1079964.882 10317.000013105_881 length=151 number of reps 162	ERR1079964.882	LC528172.1	100.0	1.7899999999999994e-71	Anaerostipes hadrus	649756	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;Anaerostipes hadrus
>ERR2319745.3080 10317.000050475_3079 length=151 number of reps 161	ERR2319745.3080	LR637623.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.1042 10317.000028806_1041 length=150 number of reps 161	ERR1458766.1042	MH467921.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1079964.479 10317.000013105_478 length=151 number of reps 161	ERR1079964.479	FP077798.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.94 10317.000028806_93 length=150 number of reps 160	ERR1458766.94	LR651281.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2405131.328 10317.000082870_327 length=151 number of reps 159	ERR2405131.328	MH761181.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.424 10317.000050475_423 length=151 number of reps 159	ERR2319745.424	MF364887.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842835.181 10317.000053460_180 length=150 number of reps 159	ERR1842835.181	DQ806733.1	99.333	2.96e-69	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1458766.131 10317.000028806_130 length=150 number of reps 159	ERR1458766.131	LC515606.1	100.0	6.369999999999999e-71	Acidaminococcus intestini	187327	Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus;Acidaminococcus intestini
>ERR1458766.1204 10317.000028806_1203 length=150 number of reps 158	ERR1458766.1204	CP040902.1	100.0	6.369999999999999e-71	Longibaculum sp. KGMB06250	2584943	Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Longibaculum;Longibaculum sp. KGMB06250
>ERR1079964.4288 10317.000013105_4287 length=151 number of reps 158	ERR1079964.4288	MH761696.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.2002 10317.000050475_2001 length=151 number of reps 156	ERR2319745.2002	MN474417.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696499.27 10317.000076358_26 length=151 number of reps 155	ERR2696499.27	CP053042.1	99.338	8.309999999999998e-70	Proteus cibarius	626774	Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus cibarius
>ERR1845804.862 10317.000023590_861 length=150 number of reps 155	ERR1845804.862	MN212164.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2405131.243 10317.000082870_242 length=151 number of reps 154	ERR2405131.243	KF385804.1	98.01299999999999	1.7999999999999995e-66	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1080303.122 10317.000021280_121 length=149 number of reps 153	ERR1080303.122	KR188893.1	100.0	2.2699999999999994e-70	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2304148.726 10317.000087039_725 length=151 number of reps 152	ERR2304148.726	MT509550.1	100.0	1.7899999999999994e-71	Raoultella ornithinolytica	54291	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Raoultella;Raoultella ornithinolytica
>ERR1843602.7 10317.000040396_6 length=150 number of reps 152	ERR1843602.7	MT510319.1	100.0	6.369999999999999e-71	Lactobacillus ruminis	1623	Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus ruminis
>ERR1080303.262 10317.000021280_261 length=151 number of reps 152	ERR1080303.262	MF670802.1	100.0	1.7899999999999994e-71	uncultured Faecalibacterium sp.	259315	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;uncultured Faecalibacterium sp.
>ERR2319745.375 10317.000050475_374 length=149 number of reps 151	ERR2319745.375	LR590664.1	100.0	2.2699999999999994e-70	Methanobrevibacter smithii	2173	Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter smithii
>ERR1160658.289 10317.000032795_288 length=126 number of reps 150	ERR1160658.289	MH223120.1	100.0	1.1100000000000001e-57	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2697834.41 10317.000097233_40 length=151 number of reps 149	ERR2697834.41	LR638955.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696499.385 10317.000076358_384 length=151 number of reps 149	ERR2696499.385				uncultured bacterium		
>ERR1160658.732 10317.000032795_731 length=126 number of reps 149	ERR1160658.732				uncultured bacterium		
>ERR1079964.5169 10317.000013105_5168 length=151 number of reps 149	ERR1079964.5169				uncultured bacterium		
>ERR1079964.770 10317.000013105_769 length=151 number of reps 148	ERR1079964.770				uncultured bacterium		
>ERR1079964.343 10317.000013105_342 length=151 number of reps 148	ERR1079964.343				uncultured bacterium		
>ERR2319745.382 10317.000050475_381 length=151 number of reps 146	ERR2319745.382				uncultured bacterium		
>ERR1458766.2449 10317.000028806_2448 length=150 number of reps 146	ERR1458766.2449				uncultured bacterium		
>ERR1160658.1766 10317.000032795_1765 length=126 number of reps 146	ERR1160658.1766				uncultured bacterium		
>ERR1080303.582 10317.000021280_581 length=151 number of reps 146	ERR1080303.582				uncultured bacterium		
>ERR1079964.145 10317.000013105_144 length=151 number of reps 146	ERR1079964.145				uncultured bacterium		
>ERR2405131.4736 10317.000082870_4735 length=151 number of reps 145	ERR2405131.4736				uncultured bacterium		
>ERR1316052.90 10317.000039806_89 length=150 number of reps 144	ERR1316052.90				uncultured bacterium		
>ERR1080303.2608 10317.000021280_2607 length=151 number of reps 144	ERR1080303.2608				uncultured bacterium		
>ERR1458766.4960 10317.000028806_4959 length=150 number of reps 143	ERR1458766.4960				uncultured bacterium		
>ERR2696499.325 10317.000076358_324 length=151 number of reps 142	ERR2696499.325				uncultured bacterium		
>ERR1160658.1823 10317.000032795_1822 length=126 number of reps 142	ERR1160658.1823				uncultured bacterium		
>ERR1458766.3786 10317.000028806_3785 length=150 number of reps 141	ERR1458766.3786				uncultured bacterium		
>ERR1458766.161 10317.000028806_160 length=150 number of reps 140	ERR1458766.161				uncultured bacterium		
>ERR1458766.6440 10317.000028806_6439 length=150 number of reps 139	ERR1458766.6440				uncultured bacterium		
>ERR2696499.153 10317.000076358_152 length=151 number of reps 138	ERR2696499.153				uncultured bacterium		
>ERR2405131.2249 10317.000082870_2248 length=151 number of reps 138	ERR2405131.2249				uncultured bacterium		
>ERR2405131.18 10317.000082870_17 length=151 number of reps 138	ERR2405131.18				uncultured bacterium		
>ERR1079964.58 10317.000013105_57 length=151 number of reps 138	ERR1079964.58				uncultured bacterium		
>ERR1458766.61 10317.000028806_60 length=150 number of reps 137	ERR1458766.61				uncultured bacterium		
>ERR1160658.4302 10317.000032795_4301 length=126 number of reps 137	ERR1160658.4302				uncultured bacterium		
>ERR1160658.3606 10317.000032795_3605 length=126 number of reps 137	ERR1160658.3606				uncultured bacterium		
>ERR2697834.6 10317.000097233_5 length=151 number of reps 136	ERR2697834.6				uncultured bacterium		
>ERR2405131.54 10317.000082870_53 length=151 number of reps 136	ERR2405131.54				uncultured bacterium		
>ERR2405131.5311 10317.000082870_5310 length=150 number of reps 136	ERR2405131.5311				uncultured bacterium		
>ERR1160658.3110 10317.000032795_3109 length=126 number of reps 136	ERR1160658.3110				uncultured bacterium		
>ERR1080303.204 10317.000021280_203 length=151 number of reps 135	ERR1080303.204				uncultured bacterium		
>ERR1079964.2888 10317.000013105_2887 length=151 number of reps 135	ERR1079964.2888				uncultured bacterium		
>ERR1842255.756 10317.000044555_755 length=150 number of reps 134	ERR1842255.756				uncultured bacterium		
